business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,Tuesday,Wednesday,Thursday,Friday,Saturday,hours,Monday,Sunday,RestaurantsDelivery,BusinessAcceptsCreditCards,RestaurantsPriceRange2,DogsAllowed,NoiseLevel,RestaurantsTakeOut,Caters,BikeParking,attributes,HappyHour,WheelchairAccessible,OutdoorSeating,RestaurantsGoodForGroups,Alcohol,RestaurantsReservations,GoodForKids,HasTV,RestaurantsAttire,DriveThru,WiFi,ByAppointmentOnly,BusinessAcceptsBitcoin,RestaurantsTableService,Corkage,BYOBCorkage,Smoking,CoatCheck,GoodForDancing,BYOB,AcceptsInsurance,Open24Hours,garage,street,validated,lot,valet,BusinessParking,Ambience,touristy,hipster,romantic,divey,intimate,trendy,upscale,classy,casual,Music,dj,background_music,no_music,jukebox,live,video,karaoke,GoodForMeal,dessert,latenight,lunch,dinner,brunch,breakfast,BestNights,monday,tuesday,friday,wednesday,thursday,sunday,saturday,DietaryRestrictions,dairy-free,gluten-free,vegan,kosher,halal,soy-free,vegetarian
SafdGq_SqLzC0yTjWE_IpA,Gabi & Jules,2302B Clarke Street,Port Moody,BC,V3H 1Y8,49.277985,-122.8612024,4.0,49,1,"Food, Bakeries",10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,9:0-17:0,1,,10:0-16:0,False,,2,False,,True,True,True,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
MFFd5VZQxyk-TCqlcdlY8w,Amanda Oakleaf Cakes,1 Pauline St,Winthrop,MA,02152,42.3769677,-70.9844456,4.0,66,0,"Bakeries, Food, Coffee & Tea",12:0-18:0,12:0-18:0,12:0-18:0,12:0-18:0,12:0-18:0,1,,12:0-18:0,,True,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
jSv5R2MBAMLDH_iNMoPedA,Caribe Bakery,"1351 N Goldenrod Rd, Ste 1",Orlando,FL,32807,28.562708,-81.285732,3.5,30,0,"Food, Bakeries",6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,6:0-18:0,1,6:0-18:0,7:0-17:0,False,True,1,,,True,True,False,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
Fxdy2WZ6LAu_C5SPJpqApw,Pattycake Bakery,3009 N High St,Columbus,OH,43202,40.023558,-83.014092,4.5,302,1,"Restaurants, Bakeries, Vegan, Food, Vegetarian",11:0-19:0,11:0-19:0,11:0-18:0,,9:0-18:0,1,11:0-19:0,11:0-16:0,True,True,2,,u'quiet',True,True,True,1,,,None,False,u'none',False,True,True,u'casual',,'no',,,,,,,,,,,,False,True,False,True,False,1,1,False,True,False,False,False,True,False,True,True,0,,,,,,,,1,True,False,False,False,False,False,0,,,,,,,,0,,,,,,,
VFJISciQRdwqUwpGxVq5DA,Petion Ville Bakery,186 Main St,Everett,MA,02149,42.407142,-71.0622659,4.0,5,1,"Bakeries, Food",,,,,,0,,,False,,,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
c5s2PnoRi0Gin6wHdSn2jA,Candyland Designs Co.,24B Broadway Ave,Kissimmee,FL,34741,28.292327,-81.4071787,4.5,12,1,"Custom Cakes, Cupcakes, Chocolatiers & Shops, Macarons, Bakeries, Specialty Food, Food, Patisserie/Cake Shop",10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,1,,,True,True,2,False,,False,True,True,1,,True,,,,,,,,,,,False,,,,,,,,,,True,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
ENCkRJI7lC_Gwyjkb94Mew,The Boston Chipyard,Quincy Market,Boston,MA,02109,42.3602467398,-71.0549194749,4.0,126,1,"Food, Bakeries, Restaurants",9:0-22:0,9:0-22:0,9:0-22:0,9:0-0:0,9:0-0:0,1,9:0-22:0,9:0-22:0,False,True,1,,,True,False,True,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
NQXQB2o7PXPBgS2vLM_uwQ,Lookout the Coffee House,6409 Bay Street,West Vancouver,BC,V7W 3H5,49.3747414,-123.2735776,4.0,7,1,"Food, Coffee & Tea, Bakeries, Desserts",,,,,,0,,,,,1,,,True,False,True,1,,True,True,,,,,,,,u'free',,,,,,,,,,,,False,False,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
QwxkPvSZtyIb0hLBwhBzAg,Safeway,13485 NW Cornell Rd,Portland,OR,97229,45.5279674,-122.8144201,2.5,52,1,"Grocery, Delis, Drugstores, Restaurants, Food, Bakeries, Shopping",6:0-1:0,6:0-1:0,6:0-1:0,6:0-1:0,6:0-1:0,1,6:0-1:0,6:0-1:0,True,True,2,,'average',True,True,True,1,,,True,True,'beer_and_wine',False,True,False,'casual',,u'no',,,False,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
QVz-0evZ4dAbcKESDcTcNw,Urban Fare,305 Bute Street,Vancouver,BC,V6C 3T6,49.2891578,-123.1227365,3.5,109,1,"Grocery, Food, Bakeries",7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,1,7:0-22:0,7:0-22:0,True,,2,,,True,True,True,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
1gdxoCW21a-dkhHKb3PeCA,Baguette & Co,2509 Main Street,Vancouver,BC,V6K 2H5,49.2625517042,-123.1012146712,3.5,22,0,"Food, Cafes, Bakeries, Restaurants",7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,1,7:0-22:0,7:0-22:0,False,True,1,,u'quiet',True,,True,1,,,False,True,'none',False,True,False,u'casual',,'no',,,True,,,,,,,,,False,False,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,True,False,False,False,False,False,0,,,,,,,,0,,,,,,,
68p1rT55DCCaB5rIi7Jwng,Bloc Somerville,11 Bow St,Somerville,MA,02143,42.3808746,-71.0966903,3.5,499,1,"Bakeries, Restaurants, Salad, Bagels, Desserts, Sandwiches, Coffee & Tea, Food, Breakfast & Brunch",7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,1,7:0-20:0,7:0-20:0,True,True,2,,u'average',True,False,True,1,,,True,True,'none',False,True,False,'casual',,'paid',False,,,False,'no',,,,,,,False,True,False,False,False,1,1,False,True,False,False,False,False,False,True,True,0,,,,,,,,1,False,False,True,False,False,True,0,,,,,,,,0,,,,,,,
GwOTbgMquAOTZPzOc_pdiA,Auntie Anne's,9469 SW Washington Square Rd,Portland,OR,97223,45.4494683,-122.7833414,2.0,12,1,"Pretzels, Food, Fast Food, Restaurants, Bakeries",,,,,,0,,,True,True,2,,u'average',True,False,False,1,,,True,False,u'none',False,True,False,u'casual',,'no',,,,,,,,,,,,False,False,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
vqjevk-nchiJveRlIw2uVQ,PDX Cookie,7919 SE Stark St,Portland,OR,97215,45.519284,-122.5819354,4.0,19,1,"Bakeries, Food, Desserts",10:0-16:0,10:0-16:0,,10:0-16:0,10:0-16:0,1,10:0-16:0,10:0-16:0,True,,,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
zptEZZLh0iP5PnslDAUbkw,The Red Lion Inn,71 S Main St,Cohasset,MA,02025,42.2396399,-70.8016358,3.0,72,1,"Bed & Breakfast, Venues & Event Spaces, Bakeries, Restaurants, Food, Event Planning & Services, Hotels, Hotels & Travel",9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,1,9:0-20:0,9:0-20:0,,True,3,,,,,,1,,,,,,,,,,,u'free',,,,,,,,,,,,False,False,False,False,False,1,1,False,False,False,False,False,False,False,False,False,0,,,,,,,,1,False,False,False,False,False,False,0,,,,,,,,0,,,,,,,
viTut7TZzcR2Q8HAtqe8Zw,Tim Hortons,1299 Robson Street,Vancouver,BC,V6E 1C2,49.2870226,-123.1283048,3.5,39,1,"Coffee & Tea, Bakeries, Food, Fast Food, Restaurants",,,,,,0,,,False,,1,,u'average',True,False,True,1,,,False,True,u'none',False,True,False,u'casual',False,'free',,,False,,,,,,,,,False,True,False,False,False,1,1,False,False,False,False,False,False,False,False,True,0,,,,,,,,1,False,False,False,False,False,True,0,,,,,,,,0,,,,,,,
tJn6TiHqJyVntY9d0MBpJQ,Auntie Anne's,12000 SE 82nd Ave,Portland,OR,97266,45.435855,-122.572803,1.5,21,1,"Pretzels, Fast Food, Food, Restaurants, Bakeries",,,,,,0,,,True,True,,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
FENeLdCRMHfyQqWVKVV5Ew,Auntie Anne'S,5770 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34741,28.33078,-81.516132,3.5,6,1,"Restaurants, Bakeries, Fast Food, Food, Pretzels",,,,,,0,,,True,True,1,,,True,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
RabRnRZeCMu_uGTnAUUTaA,Wild Chix & Waffles,7714 Burnet Rd,Austin,TX,78757,30.3544629162,-97.7323084688,4.0,500,0,"Lounges, Food, Wine Bars, Coffee & Tea, Nightlife, Breakfast & Brunch, Cafes, Chicken Shop, Poke, Restaurants, Waffles, Bars, American (New), Bakeries",11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,9:0-22:0,1,11:0-22:0,9:0-22:0,False,True,2,True,u'average',True,False,True,1,False,True,True,True,u'full_bar',False,True,False,'casual',,u'no',False,False,False,,,u'no',False,False,,,,False,False,False,True,False,1,1,False,True,False,False,False,True,False,True,True,1,False,True,False,False,False,False,False,1,False,False,True,False,True,True,1,False,False,True,False,False,True,True,0,,,,,,,
N9f8XoP3Q019I2ph6-_aLA,Sweet,Zero Brattle St,Cambridge,MA,02138,42.3733199694,-71.1195981503,3.0,416,0,"Food, Cupcakes, Custom Cakes, Bakeries, Specialty Food, Desserts",10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,1,10:0-21:0,10:0-21:0,True,True,2,,,True,True,True,1,,,,,u'none',,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
K6mS-33cXSuAbeyq7QXPRA,Sally's Gluten Free Bakery,2162 Briarcliff Rd NE,Atlanta,GA,30329,33.8167245,-84.3356715,5.0,8,1,"Bakeries, Specialty Food, Gluten-Free, Restaurants, Food",10:0-15:30,10:0-15:30,10:0-15:30,10:0-15:30,10:0-15:30,1,0:0-0:0,,True,True,,,,True,,,1,False,,,,u'none',True,,False,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
nfCfst4QBt6HuHqG1QPfcw,Just Pies,"736 Northfield Rd, Ste 1",Westerville,OH,43082,40.144356,-82.9151097,4.5,48,1,"Bakeries, Food",9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,7:0-17:0,1,9:0-17:0,9:0-15:0,False,True,2,,,True,True,False,1,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
jvymM8bckHpR3Ccwecy8-Q,Sweet Christopher's,601 Centre St,Jamaica Plain,MA,02130,42.3148809,-71.1142953,4.0,14,0,"Food, Bakeries, Desserts, Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants",,,,,,0,,,,True,2,,,,,,1,,,False,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
ciNCcmkU-PHHp20xb3IkCA,Fat Cupcake,6011 SE 72nd Ave,Portland,OR,97206,45.479262514,-122.5894919652,4.0,103,1,"Cupcakes, Desserts, Bakeries, Food",9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,1,9:0-19:0,,True,True,2,,,True,True,True,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
yvtlcGIx4BbvUwraAJi3TQ,Skull & Cakebones,"3991 E Hwy 290, Unit A",Dripping Springs,TX,78620,30.1971781,-98.0232472,4.5,103,1,"Coffee & Tea, Specialty Food, Food, Desserts, Cafes, Bakeries, Vegan, Breakfast & Brunch, Cupcakes, Restaurants, Food Trucks, Health Markets, Local Flavor",,,,10:0-15:0,10:0-15:0,1,0:0-0:0,10:0-15:30,True,True,1,True,u'quiet',True,True,True,1,False,True,None,True,u'none',False,True,False,'casual',,u'free',,False,False,,,,,,,,,False,False,False,True,False,1,1,False,False,False,False,False,True,False,False,True,0,,,,,,,,1,False,False,True,False,False,False,0,,,,,,,,0,,,,,,,
-wvyx-oLm0ICVJZxn1W85w,Wild Flour Cakery & Boutique,"316 N Main St, Ste B",Buda,TX,78610,30.0885196,-97.8233067,4.5,7,0,"Event Planning & Services, Bakeries, Flowers & Gifts, Desserts, Shopping, Arts & Crafts, Cards & Stationery, Food",10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,9:0-13:0,1,,,,True,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
iYgbJL8z-ywjW4SLx3VxDA,The Cakery,6306 SW Capitol Hwy,Portland,OR,97239,45.478394,-122.6943123,4.5,72,1,"Food, Shopping, Cupcakes, Bakeries, Desserts",9:0-15:0,11:0-18:0,11:0-18:0,11:0-18:0,9:0-15:0,1,0:0-0:0,9:0-18:0,None,True,2,,,True,True,True,1,,True,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
PgHJ1Pw3dMWxw4cw1DqLtw,Svitoch,4804 NE Thurston Way,Vancouver,WA,98662,45.6574543,-122.5903783,3.5,97,1,"Food, Bakeries, Meat Shops, International Grocery, Grocery, Specialty Food",10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,1,10:0-20:0,11:0-18:0,False,True,2,,,True,True,True,1,,,,,u'none',,,,,,,,,,,,,,,,,,False,,False,True,False,1,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,
